"publications","somme_partages","moyenne_partages","somme_reactions","moyenne_reactions","somme_commentaires","somme_likes_commentaires","somme_commentaires_commentaires","moyenne_commentaires","engagement_total","engagement_moyen","heure"
2985,60800,20.37,181671,60.86,28554,12300,43644,28.31,326969,109.54,"00"
605,28039,46.35,52043,86.02,6055,3717,8404,30.04,98258,162.41,"01"
274,27719,101.16,41360,150.95,6083,4565,15010,93.64,94737,345.76,"02"
386,12638,32.74,25380,65.75,6442,3628,7606,45.79,55694,144.28,"03"
778,32515,41.79,48514,62.36,10529,3630,11127,32.50,106315,136.65,"04"
5464,188231,34.45,215428,39.43,54199,13950,53883,22.33,525691,96.21,"05"
10841,302286,27.88,617324,56.94,197581,64167,199532,42.55,1380890,127.38,"06"
13077,528294,40.40,914241,69.91,195848,82280,226431,38.58,1947094,148.89,"07"
18988,894673,47.12,1282985,67.57,279591,117505,326763,38.12,2901517,152.81,"08"
19593,885518,45.20,1448605,73.93,310589,118323,327962,38.63,3090997,157.76,"09"
20884,756858,36.24,1419902,67.99,291856,122094,329373,35.59,2920083,139.82,10
22737,842515,37.05,1445205,63.56,323017,121967,364153,35.59,3096857,136.20,11
21065,811432,38.52,1256658,59.66,288622,120140,355738,36.29,2832590,134.47,12
17319,711941,41.11,1161464,67.06,255727,99199,299275,37.77,2527606,145.94,13
18965,676827,35.69,1181262,62.29,266167,105081,317574,36.32,2546911,134.30,14
19972,793429,39.73,1159438,58.05,261442,103234,294167,32.99,2611710,130.77,15
21046,951016,45.19,1332375,63.31,284578,122711,330511,35.06,3021191,143.55,16
15170,717148,47.27,1046563,68.99,237185,106525,301075,42.50,2408496,158.77,17
13063,670275,51.31,1039023,79.54,194145,94926,270952,42.87,2269321,173.72,18
12646,826631,65.37,1161979,91.89,203952,102015,259520,44.72,2554097,201.97,19
9448,536841,56.82,927479,98.17,170509,87422,235497,52.23,1957748,207.21,20
6537,323159,49.44,821220,125.63,120266,72345,184047,57.62,1521037,232.68,21
4276,194938,45.59,577559,135.07,81206,49135,157949,67.42,1060787,248.08,22
3079,248077,80.57,435044,141.29,56190,28634,90218,56.85,858163,278.71,23
