titre,publications,somme_partages,moyenne_partages,somme_reactions,moyenne_reactions,somme_commentaires,somme_likes_commentaires,somme_commentaires_commentaires,moyenne_commentaires,engagement_total,engagement_moyen,annee
"104,7 Outaouais",623,28421,45.62,28029,44.99,14189,3918,7685,41.40,82242,132.01,2017
"104,7 Outaouais",592,3710,6.27,4775,8.07,3014,484,1102,7.77,13085,22.10,2016
"104,7 Outaouais",593,2873,4.84,5276,8.90,3005,207,759,6.70,12120,20.44,2015
"104,7 Outaouais",521,12036,23.10,15185,29.15,7532,671,4108,23.63,39532,75.88,2014
"104,7 Outaouais",583,12885,22.10,12568,21.56,8021,460,3990,21.39,37924,65.05,2013
107.7 FM Estrie,733,6969,9.51,13735,18.74,11214,4131,10240,34.90,46289,63.15,2017
107.7 FM Estrie,591,14882,25.18,19652,33.25,12295,3943,10414,45.10,61186,103.53,2016
107.7 FM Estrie,590,20975,35.55,22193,37.62,12126,3457,10336,43.93,69087,117.10,2015
107.7 FM Estrie,587,4603,7.84,10624,18.10,16353,356,9283,44.28,41219,70.22,2014
107.7 FM Estrie,594,6621,11.15,6997,11.78,16565,0,4931,36.19,35114,59.11,2013
91.9 Sports,673,2148,3.19,23804,35.37,18718,2397,7757,42.90,54824,81.46,2017
91.9 Sports,588,3051,5.19,23050,39.20,16619,3394,8894,49.16,55008,93.55,2016
91.9 Sports,570,3539,6.21,24022,42.14,10357,2910,8239,37.73,49067,86.08,2015
"98,5 FM",672,14881,22.14,34493,51.33,16380,11312,19730,70.57,96796,144.04,2017
"98,5 FM",595,7217,12.13,20256,34.04,9651,3165,6344,32.20,46633,78.37,2016
"98,5 FM",591,510,0.86,2299,3.89,3971,1453,2966,14.20,11199,18.95,2015
"98,5 FM",584,446,0.76,1361,2.33,2909,44,1900,8.31,6660,11.40,2014
"98,5 FM",590,769,1.30,2648,4.49,4873,0,3230,13.73,11520,19.53,2013
Acadie Nouvelle,711,31578,44.41,22487,31.63,3258,1100,3655,11.27,62078,87.31,2017
Acadie Nouvelle,585,24520,41.91,32435,55.44,3383,1425,4368,15.69,66131,113.04,2016
Acadie Nouvelle,589,27353,46.44,39796,67.57,4666,1227,6351,20.79,79393,134.79,2015
Acadie Nouvelle,597,21089,35.32,33541,56.18,3696,578,4874,15.32,63778,106.83,2014
Acadie Nouvelle,598,6366,10.65,9170,15.33,3035,289,3004,10.58,21864,36.56,2013
Beauce Média,706,8207,11.62,10037,14.22,1964,687,976,5.14,21871,30.98,2017
Beauce Média,598,4702,7.86,5304,8.87,790,145,291,2.05,11232,18.78,2016
Beauce Média,586,4390,7.49,4091,6.98,725,122,459,2.23,9787,16.70,2015
Beauce Média,585,2214,3.78,2040,3.49,287,2,91,0.65,4634,7.92,2014
Beauce Média,562,1026,1.83,1664,2.96,224,0,61,0.51,2975,5.29,2013
BLVD 102.1,720,31132,43.24,47353,65.77,33667,13369,31118,108.55,156639,217.55,2017
BLVD 102.1,584,33513,57.39,120016,205.51,26862,10897,17293,94.27,208581,357.16,2016
BLVD 102.1,585,17883,30.57,28836,49.29,5000,2457,3438,18.62,57614,98.49,2015
CBC Montreal,582,93628,160.87,98927,169.98,21418,10480,29741,105.91,254194,436.76,2017
CBC Montreal,591,52396,88.66,56289,95.24,8873,3152,10761,38.55,131471,222.46,2016
CBC Montreal,599,7630,12.74,7911,13.21,1605,474,1345,5.72,18965,31.66,2015
CBC Montreal,595,2337,3.93,3655,6.14,876,97,599,2.64,7564,12.71,2014
CBC Montreal,598,1186,1.98,1392,2.33,693,32,386,1.86,3689,6.17,2013
Châtelaine,769,4979,6.47,19388,25.21,1863,779,1466,5.34,28475,37.03,2017
Châtelaine,594,6064,10.21,23348,39.31,1553,486,1786,6.44,33237,55.95,2016
Châtelaine,590,7489,12.69,21937,37.18,2080,443,1622,7.03,33571,56.90,2015
Châtelaine,586,13079,22.32,74648,127.39,5359,137,5542,18.84,98765,168.54,2014
Châtelaine,569,4515,7.93,12036,21.15,2206,0,1675,6.82,20432,35.91,2013
"CIHO FM 96,3 Charlevoix",744,17382,23.36,21969,29.53,4844,1187,2655,11.67,48037,64.57,2017
"CIHO FM 96,3 Charlevoix",591,9874,16.71,12959,21.93,1234,208,664,3.56,24939,42.20,2016
"CIHO FM 96,3 Charlevoix",593,7993,13.48,10993,18.54,1336,151,969,4.14,21442,36.16,2015
"CIHO FM 96,3 Charlevoix",589,4271,7.25,3992,6.78,741,7,413,1.97,9424,16.00,2014
"CIHO FM 96,3 Charlevoix",599,1588,2.65,1045,1.74,216,0,49,0.44,2898,4.84,2013
CIME.FM,737,15177,20.59,6828,9.26,1876,631,884,4.60,25396,34.46,2017
CIME.FM,592,1763,2.98,4004,6.76,1161,163,574,3.21,7665,12.95,2016
CIME.FM,589,2049,3.48,7532,12.79,2667,325,846,6.52,13419,22.78,2015
CIME.FM,590,2980,5.05,5607,9.50,2588,146,1081,6.47,12402,21.02,2014
CIME.FM,584,1065,1.82,4495,7.70,1719,92,754,4.39,8125,13.91,2013
CIMT Nouvelles,600,30025,50.04,29829,49.72,8435,3963,5632,30.05,77884,129.81,2017
CIMT Nouvelles,595,12602,21.18,11398,19.16,1829,727,1473,6.77,28029,47.11,2016
CIMT Nouvelles,596,7779,13.05,6352,10.66,1169,453,1056,4.49,16809,28.20,2015
CIMT Nouvelles,599,2580,4.31,2138,3.57,387,55,227,1.12,5387,8.99,2014
CIMT Nouvelles,598,1975,3.30,1566,2.62,425,36,526,1.65,4528,7.57,2013
CJAD 800 Montreal,597,10827,18.14,23353,39.12,6834,3606,8954,32.49,53574,89.74,2017
CJAD 800 Montreal,599,10937,18.26,16648,27.79,6476,3002,10047,32.60,47110,78.65,2016
CJAD 800 Montreal,597,14173,23.74,18301,30.65,5576,2902,9140,29.51,50092,83.91,2015
CJAD 800 Montreal,599,9512,15.88,17864,29.82,5474,1128,6565,21.98,40543,67.68,2014
CJAD 800 Montreal,598,3106,5.19,5216,8.72,3083,207,3008,10.53,14620,24.45,2013
Coup de pouce,782,15462,19.77,27585,35.27,5714,892,1604,10.50,51257,65.55,2017
Coup de pouce,591,22959,38.85,37884,64.10,4617,790,2533,13.43,68783,116.38,2016
Coup de pouce,591,60550,102.45,100206,169.55,10365,1319,6671,31.06,179111,303.06,2015
Coup de pouce,594,51590,86.85,90302,152.02,4554,288,3891,14.70,150625,253.58,2014
Coup de pouce,584,18919,32.40,66574,114.00,9255,2,4823,24.11,99573,170.50,2013
CTV Montreal,730,46670,63.93,78839,108.00,18120,9244,22055,67.70,174928,239.63,2017
CTV Montreal,597,32238,54.00,39470,66.11,7951,4036,10222,37.20,93917,157.31,2016
CTV Montreal,599,10469,17.48,20621,34.43,4032,1226,4765,16.73,41113,68.64,2015
CTV Montreal,598,5673,9.49,11641,19.47,4039,830,4910,16.35,27093,45.31,2014
CTV Montreal,599,16301,27.21,14600,24.37,6529,1405,8542,27.51,47377,79.09,2013
EnBeauce.com,626,9811,15.67,12688,20.27,5390,1175,2145,13.91,31209,49.85,2017
EnBeauce.com,597,11387,19.07,12797,21.44,3334,439,872,7.78,28829,48.29,2016
EnBeauce.com,579,5061,8.74,4660,8.05,620,127,344,1.88,10812,18.67,2015
EnBeauce.com,593,3658,6.17,5316,8.96,647,100,379,1.90,10100,17.03,2014
EnBeauce.com,590,5161,8.75,6099,10.34,895,76,582,2.63,12813,21.72,2013
Éric Duhaime,471,63874,135.61,236743,502.64,57420,95442,138215,618.00,591694,1256.25,2017
Éric Duhaime,593,95199,160.54,241760,407.69,65746,94152,173800,562.73,670657,1130.96,2016
Éric Duhaime,589,110970,188.40,261908,444.67,67002,92213,204769,617.97,736862,1251.04,2015
Éric Duhaime,594,33355,56.15,148542,250.07,39638,71667,114403,379.98,407605,686.20,2014
Éric Duhaime,593,10128,17.08,55747,94.01,58510,3001,102574,276.70,229960,387.79,2013
EstriePlus.com Le Journal Internet,748,3561,4.76,5321,7.11,978,188,335,2.01,10383,13.88,2017
EstriePlus.com Le Journal Internet,586,1183,2.02,2232,3.81,188,30,39,0.44,3672,6.27,2016
EstriePlus.com Le Journal Internet,578,3302,5.71,4311,7.46,505,57,144,1.22,8319,14.39,2015
EstriePlus.com Le Journal Internet,573,4354,7.60,6701,11.69,701,53,257,1.76,12066,21.06,2014
EstriePlus.com Le Journal Internet,568,3222,5.67,7717,13.59,703,42,272,1.79,11956,21.05,2013
"FM 103,3 - La radio allumée",678,8130,11.99,15599,23.01,14484,1150,7302,33.83,46665,68.83,2017
"FM 103,3 - La radio allumée",558,5303,9.50,13275,23.79,11342,976,4019,29.28,34915,62.57,2016
"FM 103,3 - La radio allumée",573,4059,7.08,7754,13.53,3559,310,1381,9.16,17063,29.78,2015
"FM 103,3 - La radio allumée",590,474,0.80,2165,3.67,210,20,92,0.55,2961,5.02,2014
"FM 103,3 - La radio allumée",584,434,0.74,1984,3.40,234,13,131,0.65,2796,4.79,2013
FM93 Québec,566,12762,22.55,19964,35.27,9777,2934,7803,36.24,53240,94.06,2017
FM93 Québec,591,5209,8.81,7513,12.71,4143,762,2444,12.43,20071,33.96,2016
FM93 Québec,593,14283,24.09,17202,29.01,3514,515,3482,12.67,38996,65.76,2015
FM93 Québec,589,749,1.27,1412,2.40,479,46,184,1.20,2870,4.87,2014
FM93 Québec,514,809,1.57,1983,3.86,547,40,175,1.48,3554,6.91,2013
Global Montreal,595,35196,59.15,25485,42.83,4888,2274,4850,20.19,72693,122.17,2017
Global Montreal,599,3686,6.15,8910,14.87,1338,568,1601,5.85,16103,26.88,2016
Global Montreal,598,7706,12.89,13406,22.42,2957,1981,5527,17.50,31577,52.80,2015
Global Montreal,598,11936,19.96,15559,26.02,3636,624,4173,14.10,35928,60.08,2014
Global Montreal,600,13332,22.22,4204,7.01,1725,98,1554,5.63,20913,34.86,2013
"Gravel dans le retour - Radio X 98,1",405,16079,39.70,37810,93.36,16656,8571,11214,89.98,90330,223.04,2017
"Gravel dans le retour - Radio X 98,1",435,38969,89.58,36183,83.18,11502,4163,9981,58.96,100798,231.72,2016
"Gravel dans le retour - Radio X 98,1",322,4315,13.40,15903,49.39,5550,2953,8107,51.58,36828,114.37,2015
"Gravel dans le retour - Radio X 98,1",384,10448,27.21,43360,112.92,9711,1479,13273,63.71,78271,203.83,2014
"Gravel dans le retour - Radio X 98,1",593,16390,27.64,29375,49.54,12377,903,10599,40.27,69644,117.44,2013
Gravel le matin,672,64291,95.67,89503,133.19,13656,5509,14100,49.50,187059,278.36,2017
Gravel le matin,584,31546,54.02,43668,74.77,9405,2807,9857,37.79,97283,166.58,2016
Gravel le matin,594,5992,10.09,18043,30.38,8986,2572,11802,39.33,47395,79.79,2015
Gravel le matin,592,8528,14.41,18775,31.71,15724,2917,22356,69.25,68300,115.37,2014
Gravel le matin,255,2104,8.25,6197,24.30,6042,1149,6744,54.65,22236,87.20,2013
HollywoodPQ.com,643,3518,5.47,23461,36.49,6374,2875,4882,21.98,41110,63.93,2017
HollywoodPQ.com,595,4931,8.29,38770,65.16,6807,4901,5053,28.17,60462,101.62,2016
HollywoodPQ.com,598,2565,4.29,27834,46.55,3440,1590,2988,13.41,38417,64.24,2015
HollywoodPQ.com,597,2783,4.66,19813,33.19,2755,45,2175,8.33,27571,46.18,2014
HollywoodPQ.com,598,1491,2.49,8643,14.45,2184,0,2255,7.42,14573,24.37,2013
HuffPost Québec,599,16087,26.86,29851,49.83,9220,7704,12220,48.65,75082,125.35,2017
HuffPost Québec,594,62544,105.29,82967,139.68,17587,12258,23539,89.87,198895,334.84,2016
HuffPost Québec,316,19786,62.61,32784,103.75,6398,5502,11351,73.58,75821,239.94,2015
HuffPost Québec,249,6079,24.41,9043,36.32,3617,563,5227,37.78,24529,98.51,2013
ICI Abitibi-Témiscamingue,715,20441,28.59,23416,32.75,3161,1180,2224,9.18,50422,70.52,2017
ICI Abitibi-Témiscamingue,593,9048,15.26,9844,16.60,1132,294,625,3.46,20943,35.32,2016
ICI Abitibi-Témiscamingue,593,3209,5.41,4257,7.18,790,95,315,2.02,8666,14.61,2015
ICI Abitibi-Témiscamingue,588,2866,4.87,2747,4.67,403,24,243,1.14,6283,10.69,2014
ICI Abitibi-Témiscamingue,593,936,1.58,869,1.47,246,34,140,0.71,2225,3.75,2013
ICI Bas-Saint-Laurent,648,21905,33.80,22996,35.49,3773,2092,2784,13.35,53550,82.64,2017
ICI Bas-Saint-Laurent,589,15243,25.88,10864,18.44,1385,406,661,4.16,28559,48.49,2016
ICI Bas-Saint-Laurent,591,3652,6.18,3504,5.93,473,82,338,1.51,8049,13.62,2015
ICI Bas-Saint-Laurent,583,1669,2.86,1683,2.89,246,9,84,0.58,3691,6.33,2014
ICI Bas-Saint-Laurent,486,409,0.84,769,1.58,183,7,66,0.53,1434,2.95,2013
ICI Côte-Nord,723,25154,34.79,18711,25.88,3188,1161,1595,8.22,49809,68.89,2017
ICI Côte-Nord,597,19954,33.42,13796,23.11,1634,399,824,4.79,36607,61.32,2016
ICI Côte-Nord,589,4714,8.00,4729,8.03,600,81,321,1.70,10445,17.73,2015
ICI Côte-Nord,174,20,0.11,115,0.66,57,0,8,0.37,200,1.15,2014
ICI Côte-Nord,280,197,0.70,342,1.22,94,0,46,0.50,679,2.43,2013
ICI Estrie,667,37765,56.62,38541,57.78,7356,4472,6370,27.28,94504,141.69,2017
ICI Estrie,587,30538,52.02,24437,41.63,4272,2276,4432,18.71,65955,112.36,2016
ICI Estrie,595,26011,43.72,15663,26.32,2824,646,2619,10.23,47763,80.27,2015
ICI Estrie,587,7247,12.35,6369,10.85,1769,243,1097,5.30,16725,28.49,2014
ICI Estrie,593,1840,3.10,3213,5.42,727,30,401,1.95,6211,10.47,2013
