code,nom,fbID,apropos,description,mission,categorie1,categorie2,categorie3,pays,état,ville,adresse courte,adresse longue,likes,talking_about,Indice (L*TA/10⁶)
TVAnouvelles,TVA Nouvelles,163706859094,TVAnouvelles.ca,?,?,TV Network,?,?,?,?,?,?,?,1014038,163109,"165398,724142"
jdemontreal,Le Journal de Montréal,103984323029572,Le Journal de Montréal,http://fr.wikipedia.org/wiki/Le_Journal_de_Montr%C3%A9al,"Avec vous, à la recherche de la vérité...",Media/News Company,?,?,?,?,?,?,?,625336,71599,"44773,432264"
LaPresseFB,La Presse,78302173311,"Toutes nos nouvelles: http://www.lapresse.ca  Si vous aimez notre page, recommandez-la à vos amis.",?,Le site d'information francophone le plus complet en Amérique.,News & Media Website,?,?,?,?,?,?,?,576831,60353,"34813,481343"
radiocanada.info,Radio-Canada Information,131191820259167,"L'actualité au quotidien, avec vous. Et sur http://ici.radio-canada.ca.","L'actualité au quotidien, avec vous. Et sur http://ici.radio-canada.ca.

Merci de respecter la nétiquette lors de vos échanges, et surtout de demeurer respectueux des autres internautes, sans quoi vous courez le risque d'être bannis ne notre tribune : http://ici.radio-canada.ca/apropos/conditionsutilisation/netiquette/

Veuillez noter que nous effectuons une modération de base des commentaires, mais que nous n'avons pas la capacité de tous les lire. Merci de nous signaler les commentaires que vous jugez inappropriés.",?,News & Media Website,?,?,Canada,QC,Montreal,"1400, boulevard René-Lévesque Est","1400, boulevard René-Lévesque Est, Montreal, Quebec H2L 2M2",640965,50501,"32369,373465"
JdeQuebec,Le Journal de Québec,123603337695336,Votre carrefour pour toutes les nouvelles sur la région de la capitale nationale,"Le Journal de Québec, votre quotidien.

*Avis : Le Journal se réserve le droit de publier dans son édition papier vos commentaires et vos noms apparaissant sur cette Page Facebook . Merci.*      ",?,Newspaper,?,?,Canada,QC,Quebec,450 Béchard,"450 Béchard, Quebec, Quebec G1M 2E9",374227,43080,"16121,69916"
SalutBonjour.tv,Salut Bonjour,119123001761,Lundi au dimanche 6h00 @ 10h00    Réseau TVA http://tva.canoe.ca/emissions/salutbonjour/,?,?,TV Show,?,?,?,?,?,?,?,575843,27137,"15626,651491"
RDS,RDS,132756582352,La page Facebook de RDS. Le sport sans limites! Retrouvez toutes les nouvelles du sport sur www.rds.ca.,?,"Informer et divertir tous les amateurs de sports par le biais de nouvelles, analyses, images, vidéos, webdiffusions, de même que différents jeux et autres applications interactives.",TV Network,?,?,Canada,QC,Montreal,"1755, Boul. René-Lévesque Est","1755, Boul. René-Lévesque Est, Montreal, Quebec H2K 4P6",367942,23879,"8786,087018"
TVASports,TVA Sports,127476907331141,La page Facebook officielle de la chaîne TVA Sports.,La page Facebook officielle de la chaîne TVA Sports.,?,TV Network,?,?,?,?,?,?,?,318553,24887,"7927,828511"
meteomedia,MétéoMédia,8157654607,Restez à l’affût des plus récentes prévisions et nouvelles météorologiques. Joignez-vous à nous et téléchargez votre #MomentMeteo ici: http://goo.gl/RVcVmI �,"Restez à l’affût des plus récentes prévisions, nouvelles et vidéos météorologiques. N’hésitez pas à partager avec nous vos #MomentMeteo: goo.gl/zDqG3b",?,News & Media Website,?,?,?,?,?,?,?,260819,21338,"5565,355822"
HuffPostQuebec,HuffPost Québec,203690626386081,"Le Huffington Post Québec, votre espace de discussion et de débat sur l'actualité. http://quebec.huffingtonpost.ca/","Site d'information, d'opinion, de divertissement et de bien-être au Québec.",?,News & Media Website,?,?,Canada,QC,Montreal,"1801 avenue McGill College, bureau 740","1801 avenue McGill College, bureau 740, Montreal, Quebec H3A 2N4",316426,17489,"5533,974314"
