code,nom,fbID,apropos,description,mission,categorie1,categorie2,categorie3,pays,état,ville,adresse courte,adresse longue,likes,talking_about,Indice (L*TA/10^6)
1047fm.Outaouais,"104,7 Outaouais",271598752944478,Attendez-vous à plus ! www.fm1047.ca - www.twitter.com/1047_FM,"5h30 à 9h30 - Que l'Outaouais se lève!  Avec Michel Lapointe et de nombreux collaborateurs, dont Caroline Tétreault, Mario Aubé, Marc Legault et Roch Cholette.

9h30 à 11h - Doc Mailloux et Josey

11h à Midi - Isabelle Maréchal parle des grands enjeux de la société québécoise.

12h à 15h - Solide comme le Roch avec Roch Cholette.

15h à 17h - LOutaouais maintenant avec Louis-Philippe Brulé et ses nombreux collaborateurs dont Valérie Clairoux aux arts et spectacles et Jérémy Filosa pour nous parler de sports.
",?,Broadcasting & Media Production Company,?,?,Canada,QC,Gatineau,150 d'Edmonton,"150 d'Edmonton, Gatineau, Quebec J8Y 3S6",26983,2549,"68,779667"
1077fm,107.7 FM Estrie,335968163160985,Attendez vous à plus !,?,?,Radio Station,?,?,?,?,?,?,?,23053,681,"15,699093"
919sport,91.9 Sports,880897441945418,Du sport... en continu! - Station de radio - Montréal,?,?,Radio Station,?,?,?,?,?,?,?,31664,909,"28,782576"
985fm,"98,5 FM",141792675836335,"98,5fm Vous le savez maintenant !  http://www.985fm.ca",?,?,Website,?,?,Canada,QC,Montreal,"800 de la Gauchetière Ouest, bureau 1100","800 de la Gauchetière Ouest, bureau 1100, Montreal, Quebec H5A 1M1",51936,6805,"353,42448"
acadienouvelle,Acadie Nouvelle,26891234963,L'Acadie s'exprime ici!,?,?,Newspaper,?,?,Canada,NB,Caraquet,476 boulevard Saint-Pierre,"476 boulevard Saint-Pierre, Caraquet, New Brunswick E1W 1B7",39503,1982,"78,294946"
beaucemedia,Beauce Média,125969067756,?,"Journal hebdomadaire de Icimédias, couvrant la circonscription de Beauce-Nord, dont les villes de Sainte-Marie et Saint-Joseph-de-Beauce.","Couvrir et diffuser les informations des MRC de La Nouvelle-Beauce, de Robert-Cliche et d'une partie de celle de Lotbinière.",Media/News Company,?,?,Canada,QC,Sainte-Marie,"1068, Boulevard Vachon Nord, bureau 010","1068, Boulevard Vachon Nord, bureau 010, Sainte-Marie, Quebec G6E 1M6",5418,2477,"13,420386"
BLVD1021,BLVD 102.1,150432825297809,"BLVD 102.1, la radio qui fait parler!","BLVD 102,1, un grand carrefour où toutes les musiques se croisent, où tout le monde se rencontre et où toutes les opinions circulent.

Une propriété Leclerc Communication",?,Radio Station,?,?,?,?,?,?,?,109730,2535,"278,16555"
CBCMontreal,CBC Montreal,128015371297,Your source for breaking news and top stories in Montreal. ,"The CBC Montreal Facebook page connects you to our journalists and to your community. We welcome your breaking news tips, comments and story ideas on Facebook and elsewhere:
 
Find us online at cbc.ca/montreal 

On Twitter: twitter.com/CBCMontreal 
On Instagram: instagram.com/CBCMontreal

Share with us using #cbcmtl


Please keep your Facebook posts relative to the topic. Your contributions make our programming richer and the conversations more lively and diverse. We reserve the right to remove any posts that are offensive, pornographic, vulgar, obscene, illegal, hateful, threatening, harassing, personally attacking, insulting and defamatory, or suggest committing a criminal act. Spam, graffiti, solicitations and advertising are also prohibited, and will be removed from the page.

If any of the rules are broken on a repeat basis, the person posting the content will be suspended and removed from the page. If a member of the page is not abiding by the posting guidelines, please feel free to report it.

For commenting and submission guidelines, please visit our submissions guidelines page online: http://www.cbc.ca/aboutcbc/discover/submissions.html",?,Broadcasting & Media Production Company,?,?,Canada,QC,Montreal,1400 René Lévesque Boulevard E,"1400 René Lévesque Boulevard E, Montreal, Quebec H2L 2M2",80524,26527,"2136,060148"
ChatelaineQc,Châtelaine,12560489166,"Réflexion, culture, santé, cuisine et petits pots.
http://fr.chatelaine.com/",La netiquette qui régit la modération des commentaire sur cette page Facebook est celle-ci : http://www.chatelaine.com/netiquette,?,Magazine,?,?,?,?,?,?,?,109054,738,"80,481852"
CIHOFM,"CIHO FM 96,3 Charlevoix",101619366699027,"Radio MF Charlevoix inc. est la radio de Charlevoix!

CIHO est accessible sur les ondes au 96,3 / 88,1 / 92,1 / 105,9 et sur internet au www.cihofm.com",?,"Leader dans son milieu, CIHO 96,3, la radio de Charlevoix, a pour mission d'informer, échanger et divertir, et ce, dans un souci de respect, d'authenticité et d'engagement.",Radio Station,?,?,Canada,QC,Saint Hilarion,"315, Cartier-Nord","315, Cartier-Nord, Saint Hilarion, Quebec G0A 3V0",9980,1803,"17,99394"
